Accession,susceptibility_avg,susceptibility_avg_category2,PLOT.ID,PlantNumber,NumWhorls,cat
SA24,100,high,S9,Plant10,0,Variable
SA24,100,high,S37,Plant14,1,Variable
SA24,100,high,S9,Plant7,2,Variable
SA24,100,high,S37,Plant9,2,Variable
SA24,100,high,S37,Plant17,1,Variable
SA24,100,high,S37,Plant7,1,Variable
SA24,100,high,S9,Plant8,1,Variable
SA24,100,high,S37,Plant11,1,Variable
SA24,100,high,S9,Plant5,1,Variable
SA24,100,high,S37,Plant2,1,Variable
SA24,100,high,S37,Plant4,1,Variable
SA24,100,high,S37,Plant13,1,Variable
SA24,100,high,S37,Plant1,1,Variable
SA24,100,high,S37,Plant5,1,Variable
SA24,100,high,S37,Plant18,1,Variable
SA24,100,high,S9,Plant4,1,Variable
Tzi9,100,high,S202,Plant3,1,Variable
Tzi9,100,high,S202,Plant2,1,Variable
Tzi9,100,high,S202,Plant9,1,Variable
Tzi9,100,high,S101,Plant1,1,Variable
Tzi9,100,high,S202,Plant1,2,Variable
Tzi9,100,high,S202,Plant4,1,Variable
Tzi9,100,high,S101,Plant2,1,Variable
Tzi9,100,high,S202,Plant6,1,Variable
Tzi9,100,high,S202,Plant8,1,Variable
Tzi9,100,high,S101,Plant5,1,Variable
Tzi9,100,high,S101,Plant3,1,Variable
Tzi9,100,high,S101,Plant4,1,Variable
Tzi9,100,high,S202,Plant5,1,Variable
Tzi9,100,high,S202,Plant7,1,Variable
B73,30.555,low,S107,Plant8,1,Variable
B73,30.555,low,S107,Plant4,2,Variable
B73,30.555,low,S107,Plant5,1,Variable
B73,30.555,low,S28,Plant9,3,Variable
B73,30.555,low,S28,Plant3,2,Variable
B73,30.555,low,S28,Plant4,1,Variable
B73,30.555,low,S28,Plant5,1,Variable
B73,30.555,low,S107,Plant7,1,Variable
B73,30.555,low,S28,Plant13,2,Variable
B73,30.555,low,S28,Plant14,2,Variable
B73,30.555,low,S107,Plant3,1,Variable
B73,30.555,low,S28,Plant8,2,Variable
B73,30.555,low,S28,Plant6,0,Variable
B73,30.555,low,S107,Plant1,1,Variable
B73,30.555,low,S28,Plant15,2,Variable
B73,30.555,low,S28,Plant11,2,Variable
B73,30.555,low,S28,Plant10,2,Variable
B73,30.555,low,S107,Plant6,1,Variable
B73,30.555,low,S28,Plant1,3,Variable
B73,30.555,low,S28,Plant2,2,Variable
B73,30.555,low,S28,Plant12,2,Variable
B73,30.555,low,S28,Plant7,2,Variable
B73,30.555,low,S107,Plant2,2,Variable
B97,51.705,average,S42,Plant5,1,Variable
B97,51.705,average,S42,Plant7,2,Variable
B97,51.705,average,S42,Plant8,2,Variable
B97,51.705,average,S42,Plant3,2,Variable
B97,51.705,average,S135,Plant4,1,Variable
B97,51.705,average,S135,Plant1,1,Variable
B97,51.705,average,S135,Plant5,2,Variable
B97,51.705,average,S42,Plant2,2,Variable
B97,51.705,average,S135,Plant3,1,Variable
B97,51.705,average,S42,Plant6,2,Variable
B97,51.705,average,S42,Plant4,2,Variable
B97,51.705,average,S135,Plant2,0,Variable
B97,51.705,average,S42,Plant1,2,Variable
CML103,61.665,average,S32,Plant4,2,Variable
CML103,61.665,average,S206,Plant2,1,Variable
CML103,61.665,average,S32,Plant5,2,Variable
CML103,61.665,average,S206,Plant1,1,Variable
CML103,61.665,average,S32,Plant1,1,Variable
CML103,61.665,average,S32,Plant3,2,Variable
CML103,61.665,average,S32,Plant2,2,Variable
CML247,66.665,high,S49,Plant4,1,Variable
CML247,66.665,high,S49,Plant2,1,Variable
CML247,66.665,high,S49,Plant7,1,Variable
CML247,66.665,high,S49,Plant1,0,Variable
CML247,66.665,high,S222,Plant3,1,Variable
CML247,66.665,high,S222,Plant4,1,Variable
CML247,66.665,high,S49,Plant8,1,Variable
CML247,66.665,high,S222,Plant2,1,Variable
CML247,66.665,high,S49,Plant6,0,Variable
CML247,66.665,high,S222,Plant5,1,Variable
CML247,66.665,high,S49,Plant3,1,Variable
CML247,66.665,high,S49,Plant5,1,Variable
CML247,66.665,high,S49,Plant9,1,Variable
CML247,66.665,high,S222,Plant1,1,Variable
CML258,33.335,average,S25,Plant3,2,Variable
CML258,33.335,average,S25,Plant5,2,Variable
CML258,33.335,average,S105,Plant9,1,Variable
CML258,33.335,average,S105,Plant8,1,Variable
CML258,33.335,average,S105,Plant11,1,Variable
CML258,33.335,average,S105,Plant7,1,Variable
CML258,33.335,average,S105,Plant1,2,Variable
CML258,33.335,average,S105,Plant10,1,Variable
CML258,33.335,average,S105,Plant5,1,Variable
CML258,33.335,average,S25,Plant6,2,Variable
CML258,33.335,average,S105,Plant6,0,Variable
CML258,33.335,average,S25,Plant1,2,Variable
CML258,33.335,average,S25,Plant4,2,Variable
CML258,33.335,average,S105,Plant4,1,Variable
CML258,33.335,average,S25,Plant2,2,Variable
CML258,33.335,average,S105,Plant3,1,Variable
CML258,33.335,average,S105,Plant2,1,Variable
CML333,70,high,S216,Plant3,1,Variable
CML333,70,high,S205,Plant2,1,Variable
CML333,70,high,S205,Plant3,1,Variable
CML333,70,high,S216,Plant1,1,Variable
CML333,70,high,S216,Plant2,1,Variable
CML333,70,high,S205,Plant4,1,Variable
CML333,70,high,S216,Plant4,1,Variable
CML333,70,high,S205,Plant1,1,Variable
F118,8.335,low,S198,Plant2,2,Variable
